"","X","Name","Description","Subject","Keyword","Deposit.Date","Author","Depositor","Citation","FileName","Downloads","Variables","Observations","Repository"
"11",11,"Replication Data for: The negative consequences of sports gambling opportunities on human capital formation: evidence from Spain","This repository contains the replication package--the instructions, data and code-- necessary to replicate the results presented in Espadafor & Martínez (2021). The proliferation of on-site betting shops has received enormous public attention, becoming one of the most alarming health policy issues in contemporary cities. However, there is little evidence on whether its growing presence nearby vulnerable populations produce social harm beyond its known adverse individual effects. This study provides new evidence on the negative societal effects of betting houses. Our research design takes advantage of a new wave of openings in Madrid (Spain), which created a sudden increase in the supply of on-site gambling. Using a differences-in-differences design, we find that new betting houses decline nearby high schools' educational performance, especially in public schools in less advantaged areas. This effect is neither trivial nor diminishing with time. This evidence suggests that betting houses increase inequality of educational opportunities. The ubiquity of betting houses around vulnerable populations in multiple regions drives us to think that these findings have relevant policy implications for many countries currently designing policies tackling the increase of problem gambling. Please read the README.file which contains the information on the data sources and how to reproduce our results. If you face any problem, please email us. (2021-07-21)","Social Sciences",NA,NA,"Espadafor, Mar (European University Institute)                                                    Martínez, Sergi (European University Institute)","Espadafor, Mar","Espadafor, Mar; Martínez, Sergi, 2021, ""Replication Data for: The negative consequences of sports gambling opportunities on human capital formation: evidence from Spain"", https://doi.org/10.7910/DVN/9XQQ9S, Harvard Dataverse, V1, UNF:6:+6FD0htfb8JbuNjjNS0hBg== [fileUNF]","c(""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"", ""01_estimates_main.do"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(3, 62, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(392, 115, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"12",12,"WX21","The Severe Weather and Society Survey (WX) was designed and administered by the Center for Risk and Crisis Management (CRCM) at the University of Oklahoma. This is the fifth survey in the annual series (see Silva et al. 2017, Silva et al. 2018, Silva et al. 2019, and Krocak et al. 2020 for information on WX17, WX18, WX19, and WX20). WX21 was fielded June 9 – July 17, 2021 using an online questionnaire that was completed by 1,550 US adults (age 18+) that were recruited from an Internet panel that matches the characteristics of the U.S. population as estimated in the U.S. Census. WX17 and WX18 were designed to establish baseline measures of the extent to which US adults receive, understand, and respond to severe weather forecasts and warnings; WX19 and WX20 were designed to continue and, in some cases, refine the measurement of these concepts. WX21 continues to measure these core concepts, giving us 5 years of consistent data to continue measuring change. Additionally, WX21 measured public trust in the National Weather Service (NWS), extreme weather and climate risk perceptions, risk literacy, interpretations of probabilistic language, and interpretation of longer-range severe weather forecasts (like those from the NOAA Storm Prediction Center).","Social Sciences",NA,NA,"Ripberger, Joseph (University of Oklahoma)                                                    Krocak, Makenzie (University of Oklahoma)                                                    Silva, Carol (University of Oklahoma)                                                    Jenkins-Smith, Hank (University of Oklahoma)","Krocak, Makenzie","Ripberger, Joseph; Krocak, Makenzie; Silva, Carol; Jenkins-Smith, Hank, 2021, ""WX21"", https://doi.org/10.7910/DVN/QYZLSO, Harvard Dataverse, V1, UNF:6:Z2TF/SuLbAgTzrdUBe1+rw== [fileUNF]","c(""WX21 Instrument.pdf"", ""WX21 Instrument.pdf"", ""WX21 Instrument.pdf"", ""WX21 Instrument.pdf"")","c(1, 0, 0, NA)","c(212, NA, NA, NA)","c(1550, NA, NA, NA)","Harvard Dataverse"
"13",13,"Replication data for ""A model of thyroid disease response to radiotherapy”","This repository contains the replication data and code of the study. See document Readme.pdf for a detailed description. (2021-07-14)","Medicine, Health and Life Sciences; Mathematical Sciences",NA,NA,"Gago-Arias, Maria Araceli (Instituto de Investigación Sanitaria de Santiago) - ORCID: 0000-0002-1999-2340                                                    Neira, Sara (Instituto de Investigación Sanitaria de Santiago) 0000-0003-4539-1415                                                    Terragni, Filippo (Universidad Carlos III de Madrid) - ORCID: 0000-0002-6113-0824                                                    Pardo-Montero, Juan (Instituto de Investigación Sanitaria de Santiago) - ORCID: 0000-0001-7990-3971","Gago-Arias, Maria Araceli","Gago-Arias, Maria Araceli; Neira, Sara; Terragni, Filippo; Pardo-Montero, Juan, 2021, ""Replication data for ""A model of thyroid disease response to radiotherapy”"", https://doi.org/10.7910/DVN/PBLNH1, Harvard Dataverse, V1","c(""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"", ""data.xls"")","c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"14",14,"Economic Growth and Foreign Sector: Peru 1821-2020","It seeks to answer the research question: What explains the slow growth of the Peruvian economy in 200 years (period 1821-2020), based on the Thirlwall model? The data are prepared with sources from the World Bank, Bruno Seminario, and Central Reserve Bank of Peru.","Social Sciences","Thirlwall´s Law, ARDL, Economic Growth, Volatility",NA,"Varona Castillo, Luis (CRECEDPERU) - ORCID: 0000-0002-0394-2584","VARONA CASTILLO, LUIS","Varona Castillo, Luis, 2021, ""Economic Growth and Foreign Sector: Peru 1821-2020"", https://doi.org/10.7910/DVN/KGKWT5, Harvard Dataverse, V1, UNF:6:ngzLgKCmuF0rJgHgcLmFbw== [fileUNF]","c(""Dataset.tab"", ""Dataset.tab"")","c(0, NA)","c(13, NA)","c(213, NA)","Harvard Dataverse"
"15",15,"In-vivo T1 maps","In-vivo T1 maps collected by MOLLI and newly development LL4 with MyoMapNet Reconstruction (2021-07-20)","Engineering","MOLLI, MyoMapNet",NA,"GUO, RUI (Department of Medicine, Cardiovascular Division, Beth Israel Deaconess Medical Center)","GUO, RUI","GUO, RUI, 2021, ""In-vivo T1 maps"", https://doi.org/10.7910/DVN/5MZYAH, Harvard Dataverse, V1","c(""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"", ""Post5HBsPredT1_20200819_Ar_PaSL1.mat"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"16",16,"Replication Data for: The Ultraviolet Bleach Corpus","The dataset for the Ultraviolet Beach Corpus, consisting of comments from online message boards. The topic of discussion is President Trump's statements about using ultraviolet light and disinfectants to treat COVID-19 during a televised White House briefing.","Arts and Humanities; Social Sciences; Other","Covid-19, Trump, disinfectants, ultraviolet light, corpus linguistics, CMC",NA,"Knoblock, Natalia (Saginaw Valley State university) - ORCID: 0000-0002-0684-3055                                                    Malkin, Ryan","Knoblock, Natalia","Knoblock, Natalia; Malkin, Ryan, 2021, ""Replication Data for: The Ultraviolet Bleach Corpus"", https://doi.org/10.7910/DVN/FWSTCA, Harvard Dataverse, V1","c(""FullCorpusIDsRemoved.txt"", ""FullCorpusIDsRemoved.txt"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"17",17,"A systematic review and meta-analysis of inflammatory bowel disease activity and sleep quality","A systematic review and meta-analysis of inflammatory bowel disease activity and sleep quality (2021-07-21)","Medicine, Health and Life Sciences","inflammatory bowel disease",NA,"Barnes, Alex (Flinders Medical Centre) - ORCID: 0000-0003-1457-6636","Barnes, Alex","Barnes, Alex, 2021, ""A systematic review and meta-analysis of inflammatory bowel disease activity and sleep quality"", https://doi.org/10.7910/DVN/44KYPX, Harvard Dataverse, V1","c(""Sleep_IBD_activity_meta-analysis.csv"", ""Sleep_IBD_activity_meta-analysis.csv"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"18",18,"Submission data for Urban Heat Disparities Project","Submission data for US Urban Heat Disparities, with Susanne Benz","Earth and Environmental Sciences",NA,NA,"Burney, Jennifer (UC San Diego)","Burney, Jennifer","Burney, Jennifer, 2021, ""Submission data for Urban Heat Disparities Project"", https://doi.org/10.7910/DVN/1F72FB, Harvard Dataverse, V2, UNF:6:a0KoxorHRTQrWA6NgxofJw== [fileUNF]","c(""S1_data.tab"", ""S1_data.tab"")","c(1, NA)","c(40, NA)","c(70901, NA)","Harvard Dataverse"
"19",19,"Study of the L2 Listening Comprehension","L2 Listening Comprehension of Advanced Learners. Studying of directed attention patterns and listeners strategies. The following podcast episode was used to test some research hypotheses: Miles, Nick (Host). (2021, June 16). Putin and Biden hold talks in Geneva [Audio podcast episode]. In Global News Podcast. BBC World Service. https://www.bbc.co.uk/programmes/p09lnjvh (2021-06-16)","Arts and Humanities; Social Sciences; Other",NA,NA,"Shymko, Vitalii (Hryhorii Skovoroda University in Pereiaslav (Kyiv region, Ukraine)) - ORCID: 0000-0003-4937-6976","Shymko, Vitalii","Shymko, Vitalii, 2021, ""Study of the L2 Listening Comprehension"", https://doi.org/10.7910/DVN/IAMSOI, Harvard Dataverse, V5","c(""Audio excerpt parsing into idea units.pdf"", ""Audio excerpt parsing into idea units.pdf"", ""Audio excerpt parsing into idea units.pdf"", ""Audio excerpt parsing into idea units.pdf"")","c(0, 2, 2, NA)","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","Harvard Dataverse"
"20",20,"Replication Data for: The Importance of Correct Measurement: A Response to Palmer, et al","Palmer, D’Orazio, Kenwick, and McManus (PDKM) review a minority of changes we made to the CoW MID data, agree with most of those changes, but then argue that no scientific findings will be influenced by these or the thousands of changed values they ignore. We respond in two ways. First, we point out that principles of good science dictate that we discard dispute cases that either cannot be substantiated by the historical record or that do not meet dataset coding rules; we also discuss the ten-thousand-plus changed values PDKM still have not examined. Second, contrary to PDKM, we demonstrate how data differences greatly affect previous studies by returning again to the replications. There were substantial errors in both of PDKM’s replications, and these errors led them to incorrect inferences. (2020-04-01)","Social Sciences","Militarized Interstate Disputes, Measurement, Replication",NA,"Gibler, Doug (University of Alabama)                                                    Miller, Steven (Clemson University)                                                    Little, Erin K. (University of Alabama)","Prins, Brandon","Gibler, Doug; Miller, Steven; Little, Erin K., 2021, ""Replication Data for: The Importance of Correct Measurement: A Response to Palmer, et al"", https://doi.org/10.7910/DVN/6CWQNQ, Harvard Dataverse, V1, UNF:6:MKSwIKyTQkImspaeSc1eVg== [fileUNF]","c(""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(40, 21, 3, 10, 10, 10, 24, 20, NA, NA, NA)","c(499305, 1912350, 1767, 2010, 2058, 1966, 2199, 5300, NA, NA, NA)","Harvard Dataverse"
"21",21,"Replication Data for: Updating the Militarized Interstate Dispute Data: A Response to Gibler, Miller, and Little","In a recent article, Gibler, Miller, and Little (2016) (GML) conduct an extensive review of the Militarized Interstate Dispute (MID) data between the years 1816 and 2001, highlighting possible inaccuracies and recommending a substantial number of changes to the data. They contend that, in several instances, analyses with their revised data lead to substantively different inferences. Here, we review GML's MID drop and merge recommendations and reevaluate the substantive impact of their changes. We are in agreement with about 76 percent of the recommended drops and merges. However, we find that some of the purported overturned findings in GML's replications are not due to their data, but rather to the strategies they employ for replication. We reexamine these findings and conclude that the remaining differences in inference stemming from the variations in the MID data are rare and modest in scope. (2019-07-19)","Social Sciences","Militarized Interstate Disputes, Replication, Coding",NA,"Palmer, Glenn (Pennsylvania State University)                                                    D'Orazio, Vito (University of Texas at Dallas)                                                    Kenwich, Michael (Rutgers University) - ORCID: 0000-0003-1055-7251                                                    McManus, Roseane (Pennsylvania State University)","Prins, Brandon","Palmer, Glenn; D'Orazio, Vito; Kenwich, Michael; McManus, Roseane, 2021, ""Replication Data for: Updating the Militarized Interstate Dispute Data: A Response to Gibler, Miller, and Little"", https://doi.org/10.7910/DVN/PRJNG9, Harvard Dataverse, V1, UNF:6:Vhb1it3ESPvUJVeANGE11Q== [fileUNF]","c(""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"", ""B&L_CMPS.tab"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(40, 24, 24, 20, 20, 19, 23, 24, NA, NA, NA)","c(499305, 2199, 2237, 5300, 5376, 6921, 2323, 2315, NA, NA, NA)","Harvard Dataverse"
"22",22,"The Effect of Core Values on Support for Electoral Reform: Evidence from Two Survey Experiments","A central tenet in the electoral systems subfield is that parties seek desired outcomes via the strategic adoption of electoral rules. Such partisan self-interest, however, is merely one explanation for reform: a second is that an actor may attempt to maximize her core values, which constitute her perception of the ‘common good.’ Although the extant literature has demonstrated the motivational power of core values, their effect on electoral rule choice has not been tested. Using a factorial experimental design that manipulates the partisan- and values-implications of a fictitious reform proposal, I find evidence in favor of core values: not only do they have an effect net of partisan concerns, but they also attenuate the effect of partisan self-interest when the two predispositions countervail. The results provide evidence that partisan self-interest offers an incomplete picture: actors hold—and pursue through electoral reform—objectives that are not immediately partisan in nature. (2021-01-18)","Social Sciences","Electoral reform, Core values",NA,"Virgin, Sheahan (Grinnell College)","Virgin, Sheahan","Virgin, Sheahan, 2021, ""The Effect of Core Values on Support for Electoral Reform: Evidence from Two Survey Experiments"", https://doi.org/10.7910/DVN/HFVIYA, Harvard Dataverse, V1, UNF:6:vQjV4WB8S5YCXrwB1PllqQ== [fileUNF]","c(""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"", ""Readme.txt"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(24, 24, 24, 24, 29, 29, 25, NA, NA, NA, NA)","c(31, 31, 31, 31, 1061, 1061, 1061, NA, NA, NA, NA)","Harvard Dataverse"
